ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
1076,2023,33,Aston Villa,Fulham,1,0,0,1,0,1.0,0.1,51,49,John McGinn,4-2-3-1,14,3,16.4,0,0,0,Tim Ream,4-2-3-1,1,0,14.7,0,0,0,Thomas Bramall,2023-04-25,Tue,19:45
1096,2023,28,Liverpool,Fulham,1,0,0,1,0,1.8,0.9,57,43,Jordan Henderson,4-3-3,14,2,22.6,0,1,1,Tom Cairney,4-2-3-1,9,3,16.8,0,0,0,Stuart Attwell,2023-05-03,Wed,20:00
1113,2023,36,Southampton,Fulham,0,1,0,0,2,0.4,1.4,36,64,James Ward-Prowse,4-2-3-1,5,1,24.2,0,0,0,Tom Cairney,4-2-3-1,9,3,17.5,0,0,0,Thomas Bramall,2023-05-13,Sat,15:00
1137,2023,38,Manchester United,Fulham,1,0,0,2,1,2.9,1.8,53,47,Harry Maguire,4-2-3-1,21,8,20.7,1,0,0,Tom Cairney,4-2-3-1,9,2,17.6,1,0,1,Robert Jones,2023-05-28,Sun,16:30
1146,2024,1,Everton,Fulham,0,1,0,0,1,2.7,1.5,42,58,James Tarkowski,4-4-1-1,19,9,15.8,0,0,0,Tom Cairney,4-3-3,9,2,13.2,0,0,0,Stuart Attwell,2023-08-12,Sat,15:00
1163,2024,3,Arsenal,Fulham,0,0,1,2,2,3.2,0.6,71,29,Martin Ødegaard,4-3-3,18,9,13.8,0,1,1,Bobby De Cordova-Reid,4-3-3,8,3,17.8,0,0,0,Paul Tierney,2023-08-26,Sat,15:00
1173,2024,4,Manchester City,Fulham,1,0,0,5,1,2.2,1.4,68,32,Kyle Walker,4-2-3-1,6,4,14.8,0,1,1,Tom Cairney,4-3-3,6,4,11.4,0,0,0,Michael Oliver,2023-09-02,Sat,15:00
1192,2024,6,Crystal Palace,Fulham,0,0,1,0,0,0.3,0.6,51,49,Joel Ward,4-2-3-1,7,3,18.9,1,0,0,Tim Ream,4-3-3,10,5,18.7,1,0,0,Paul Tierney,2023-09-23,Sat,15:00
1230,2024,9,Tottenham Hotspur,Fulham,1,0,0,2,0,1.5,1.0,55,45,Son Heung-min,4-2-3-1,15,5,17.2,0,0,0,Tim Ream,4-2-3-1,10,3,17.6,0,0,0,Anthony Taylor,2023-10-23,Mon,20:00
1239,2024,10,Brighton And Hove Albion,Fulham,0,0,1,1,1,1.4,0.7,71,29,Lewis Dunk,3-4-3,18,6,18.1,1,0,0,Tim Ream,4-2-3-1,10,5,19.3,0,0,0,Michael Salisbury,2023-10-29,Sun,14:00
1259,2024,12,Aston Villa,Fulham,1,0,0,3,1,3.0,0.9,51,49,John McGinn,4-2-2-2,12,6,13.5,0,0,0,Tim Ream,4-2-3-1,9,5,19.5,0,0,0,Simon Hooper,2023-11-12,Sun,14:00
1278,2024,14,Liverpool,Fulham,1,0,0,4,3,2.1,1.2,61,39,Virgil van Dijk,4-3-3,26,12,18.9,1,0,0,Tim Ream,4-2-3-1,9,5,13.3,0,0,0,Stuart Attwell,2023-12-03,Sun,14:00
1304,2024,17,Newcastle United,Fulham,1,0,0,3,0,3.5,0.3,70,30,Jamaal Lascelles,4-3-3,27,10,14.4,0,0,0,Tom Cairney,4-2-3-1,6,4,23.1,0,0,0,Samuel Barrott,2023-12-16,Sat,15:00
1321,2024,19,Bournemouth,Fulham,1,0,0,3,0,1.8,0.3,43,57,Neto,4-2-3-1,15,3,18.5,0,1,1,Tom Cairney,4-2-3-1,8,3,21.6,1,0,0,Tim Robinson,2023-12-26,Tue,15:00
1340,2024,21,Chelsea,Fulham,1,0,0,1,0,2.2,0.8,55,45,Conor Gallagher,4-2-3-1,16,2,17.5,0,1,1,Tom Cairney,4-2-3-1,14,4,22.0,2,0,0,Anthony Taylor,2024-01-13,Sat,12:30
