ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeAcc,HomeDef,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayAcc,AwayDef,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
207,2021,22,Sheffield United,West Bromwich Albion,1,0,0,2,1,1.3,1.6,68,32,Billy Sharp,3-5-2,14,6,0.4285714285714285,0.75,16.8,1,0,0,Jake Livermore,4-4-1-1,8,4,0.5,0.6666666666666666,13.6,0,0,0,Paul Tierney,2021-02-02,Tue,18:00
224,2021,23,Sheffield United,Chelsea,0,1,0,1,2,0.6,1.6,32,68,John Egan,3-5-2,8,3,0.375,-1.0,20.8,0,0,0,César Azpilicueta,3-4-3,8,1,0.125,0.6666666666666666,20.3,0,1,1,Kevin Friend,2021-02-07,Sun,19:15
257,2021,26,Sheffield United,Liverpool,0,1,0,0,2,0.7,2.7,40,60,David McGoldrick,3-5-2,8,2,0.25,0.75,17.4,0,0,0,Georginio Wijnaldum,4-3-3,16,8,0.5,1.0,13.9,0,0,0,Jonathan Moss,2021-02-28,Sun,19:15
261,2021,29,Sheffield United,Aston Villa,1,0,0,1,0,0.9,2.3,28,72,David McGoldrick,3-5-2,9,2,0.2222222222222222,1.0,23.6,0,0,0,Tyrone Mings,4-3-3,16,4,0.25,0.5,16.1,1,0,0,Robert Jones,2021-03-03,Wed,18:00
267,2021,27,Sheffield United,Southampton,0,1,0,0,2,0.7,1.9,51,49,David McGoldrick,3-5-2,8,2,0.25,0.6666666666666666,16.7,0,0,0,James Ward-Prowse,4-4-2,14,6,0.4285714285714285,1.0,22.2,0,1,1,Paul Tierney,2021-03-06,Sat,15:00
308,2021,31,Sheffield United,Arsenal,0,1,0,0,3,0.3,1.7,45,55,John Egan,3-5-2,7,2,0.2857142857142857,0.4,20.0,0,0,0,Alexandre Lacazette,4-2-3-1,14,5,0.3571428571428571,1.0,18.3,1,0,0,Peter Bankes,2021-04-11,Sun,19:00
324,2021,33,Sheffield United,Brighton And Hove Albion,1,0,0,1,0,0.7,2.0,32,68,John Egan,3-4-1-2,7,3,0.4285714285714285,1.0,17.8,0,0,0,Lewis Dunk,3-4-1-2,17,4,0.2352941176470588,0.6666666666666666,16.7,0,0,0,Kevin Friend,2021-04-24,Sat,20:00
340,2021,35,Sheffield United,Crystal Palace,0,1,0,0,2,0.7,2.0,50,50,John Egan,3-5-2,7,0,0.0,0.75,13.4,1,0,0,Luka Milivojević,4-3-3,21,8,0.3809523809523809,0.0,16.1,1,0,0,Simon Hooper,2021-05-08,Sat,15:00
376,2021,38,Sheffield United,Burnley,1,0,0,1,0,0.5,1.1,43,57,John Egan,3-4-3,12,3,0.25,1.0,17.4,0,0,0,James Tarkowski,4-4-1-1,10,3,0.3,0.6666666666666666,13.4,0,0,0,Kevin Friend,2021-05-23,Sun,16:00
1144,2024,1,Sheffield United,Crystal Palace,0,1,0,0,1,0.5,1.9,32,68,John Egan,3-4-3,8,1,0.125,0.875,19.4,0,0,0,Joel Ward,4-2-3-1,24,8,0.3333333333333333,1.0,18.5,1,0,0,John Brooks,2023-08-12,Sat,15:00
