ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
671,2022,31,Leeds United,Southampton,0,0,1,1,1,1.2,1.4,56,44,Liam Cooper,4-2-3-1,12,3,17.8,0,0,0,James Ward-Prowse,4-3-1-2,14,5,16.4,1,0,0,Anthony Taylor,2022-04-02,Sat,15:00
718,2022,35,Leeds United,Manchester City,0,1,0,0,4,1.3,2.4,42,58,Luke Ayling,5-4-1,7,1,12.2,0,0,0,İlkay Gündoğan,4-2-3-1,19,6,16.2,0,0,0,Paul Tierney,2022-04-30,Sat,17:30
734,2022,33,Leeds United,Chelsea,0,1,0,0,3,0.4,1.3,33,67,Liam Cooper,5-4-1,5,0,19.3,0,0,0,Jorginho,3-4-3,17,3,16.9,0,0,0,Anthony Taylor,2022-05-11,Wed,19:30
743,2022,37,Leeds United,Brighton And Hove Albion,0,0,1,1,1,1.6,2.2,50,50,Liam Cooper,4-2-3-1,19,4,15.1,1,0,0,Lewis Dunk,3-4-3,15,6,14.3,0,0,0,Mike Dean,2022-05-15,Sun,14:00
765,2023,1,Leeds United,Wolverhampton Wanderers,1,0,0,2,1,0.8,1.3,40,60,Patrick Bamford,4-2-3-1,12,4,18.6,1,0,0,Rúben Neves,4-2-3-1,15,6,18.9,0,0,0,Robert Jones,2022-08-06,Sat,15:00
788,2023,3,Leeds United,Chelsea,1,0,0,3,0,2.1,0.9,39,61,Rodrigo,4-2-3-1,12,6,16.3,0,0,0,Jorginho,3-5-2,14,3,19.8,0,0,0,Stuart Attwell,2022-08-21,Sun,14:00
804,2023,5,Leeds United,Everton,0,0,1,1,1,1.0,1.0,69,31,Rodrigo,4-2-3-1,14,5,16.9,0,0,0,Jordan Pickford,4-3-3,7,2,19.1,1,0,0,Darren England,2022-08-30,Tue,20:00
836,2023,9,Leeds United,Aston Villa,0,0,1,0,0,0.4,2.2,44,56,Liam Cooper,4-2-3-1,6,1,16.8,0,0,0,John McGinn,4-3-3,19,6,17.8,0,0,0,Stuart Attwell,2022-10-02,Sun,16:30
853,2023,11,Leeds United,Arsenal,0,1,0,0,1,1.8,0.5,47,53,Liam Cooper,4-2-3-1,15,4,18.1,0,0,1,Martin Ødegaard,4-3-3,9,4,16.6,1,0,0,Chris Kavanagh,2022-10-16,Sun,14:00
871,2023,13,Leeds United,Fulham,0,1,0,2,3,1.6,1.8,57,43,Liam Cooper,4-2-3-1,14,5,16.3,0,0,0,Tim Ream,4-2-3-1,11,4,11.9,0,0,0,Anthony Taylor,2022-10-23,Sun,14:00
890,2023,15,Leeds United,Bournemouth,1,0,0,4,3,2.2,1.5,60,40,Liam Cooper,4-2-3-1,17,3,15.9,0,1,1,Adam Smith,4-4-2,9,5,12.4,0,0,0,Tony Harrington,2022-11-05,Sat,15:00
916,2023,17,Leeds United,Manchester City,0,1,0,1,3,0.6,4.3,31,69,Liam Cooper,4-3-3,9,1,19.3,2,0,0,İlkay Gündoğan,4-3-3,26,9,16.0,0,0,0,Stuart Attwell,2022-12-28,Wed,20:00
933,2023,19,Leeds United,West Ham United,0,0,1,2,2,1.6,1.4,62,38,Liam Cooper,4-2-3-1,14,5,14.0,0,0,0,Declan Rice,4-3-3,14,1,22.5,0,1,1,David Coote,2023-01-04,Wed,19:45
957,2023,21,Leeds United,Brentford,0,0,1,0,0,0.5,0.4,58,42,Luke Ayling,4-2-3-1,9,5,23.2,1,0,0,Christian Nørgaard,3-5-2,6,0,24.2,1,0,0,Peter Bankes,2023-01-22,Sun,14:00
978,2023,23,Leeds United,Manchester United,0,1,0,0,2,1.8,1.1,34,66,Luke Ayling,4-2-3-1,16,6,11.6,0,0,0,Harry Maguire,4-2-3-1,11,5,16.4,0,0,0,Paul Tierney,2023-02-12,Sun,14:00
996,2023,25,Leeds United,Southampton,1,0,0,1,0,0.9,0.4,61,39,Luke Ayling,4-2-3-1,14,4,16.2,0,0,0,James Ward-Prowse,4-4-2,8,2,18.8,0,0,0,Peter Bankes,2023-02-25,Sat,15:00
1015,2023,27,Leeds United,Brighton And Hove Albion,0,0,1,2,2,0.9,2.7,38,62,Luke Ayling,4-2-3-1,12,4,19.7,0,0,0,Lewis Dunk,4-2-3-1,15,3,16.0,0,0,0,Paul Tierney,2023-03-11,Sat,15:00
1043,2023,7,Leeds United,Nottingham Forest,1,0,0,2,1,1.8,0.8,61,39,Luke Ayling,4-2-3-1,21,6,17.3,0,0,0,Remo Freuler,4-3-2-1,13,1,16.5,0,0,0,Robert Jones,2023-04-04,Tue,19:45
1055,2023,30,Leeds United,Crystal Palace,0,1,0,1,5,0.9,3.0,48,52,Luke Ayling,4-2-3-1,11,7,16.7,1,0,0,Joel Ward,4-3-3,16,7,12.3,1,0,0,Simon Hooper,2023-04-09,Sun,14:00
1066,2023,31,Leeds United,Liverpool,0,1,0,1,6,1.4,2.7,27,73,Rodrigo,4-2-3-1,13,3,17.6,0,0,0,Jordan Henderson,4-3-3,13,7,12.9,0,0,0,Craig Pawson,2023-04-17,Mon,20:00
1077,2023,33,Leeds United,Leicester City,0,0,1,1,1,1.5,2.1,41,59,Liam Cooper,4-2-3-1,13,3,14.9,0,0,0,Youri Tielemans,4-2-3-1,15,3,13.4,1,0,0,Paul Tierney,2023-04-25,Tue,20:00
1108,2023,36,Leeds United,Newcastle United,0,0,1,2,2,2.0,2.3,36,64,Luke Ayling,4-3-3,8,3,14.9,0,0,1,Kieran Trippier,4-3-3,16,3,19.1,1,2,2,Simon Hooper,2023-05-13,Sat,12:30
1132,2023,38,Leeds United,Tottenham Hotspur,0,1,0,1,4,1.5,2.2,52,48,Liam Cooper,5-4-1,19,2,15.8,0,0,0,Harry Kane,4-4-2,11,7,14.5,0,0,0,Anthony Taylor,2023-05-28,Sun,16:30
